"","clust.num","Biomass"
"1",1,580.8
"2",1,609.84
"3",1,348.48
"4",1,644.688
"5",1,653.4
"7",1,496.584
"8",1,487.872
"9",2,583.704
"10",1,406.56
"11",1,694.2375
"12",1,653.4
"13",2,731.808
"14",1,540.144
"15",1,471.9
"16",1,609.84
"17",1,261.36
"18",1,435.6
"19",1,544.5
"20",1,348.48
"21",1,326.7
"22",1,348.48
"23",3,0
"24",3,0
"25",3,0
"26",3,0
"28",3,326.7
"29",3,0
"30",3,261.36
"31",3,174.24
"32",3,254.1
"33",3,261.36
"34",3,304.92
"35",3,243.936
"36",3,522.72
"37",3,290.4
"38",3,217.8
"39",4,0
"41",4,0
"42",4,0
"43",4,0
"44",1,261.36
"45",1,490.05
"46",1,490.05
"48",1,0
"49",1,217.8
"50",1,261.36
"51",1,174.24
"52",1,261.36
"54",1,313.632
"55",1,381.15
"56",1,217.8
"57",1,304.92
"58",1,381.15
"59",1,217.8
"60",3,348.48
"61",1,169.4
"62",1,261.36
"63",1,522.72
"64",2,0
"65",1,304.92
"66",2,0
"67",1,348.48
"68",1,392.04
"69",1,136.125
"70",2,314.6
"71",1,435.6
"72",1,435.6
"73",1,348.48
"74",1,217.8
"75",1,696.96
"76",2,601.128
"77",1,849.42
"78",1,855.0205714
"79",1,435.6
"80",1,348.48
"81",2,NA
"82",1,459.9936
"83",2,522.72
"84",1,504.0514286
"85",1,544.5
"86",1,1263.24
"87",1,505.296
"88",3,348.48
"89",3,0
"90",3,0
"91",3,0
"92",3,0
"93",3,0
"94",3,0
"95",3,0
"96",3,0
"97",3,0
"98",3,0
"100",5,261.36
"101",1,392.04
"102",4,0
"103",2,554.0832
"104",2,0
"105",4,174.24
"106",4,0
"107",4,0
"108",4,0
"110",4,174.24
"111",4,0
"113",4,0
"114",4,718.74
"115",4,0
"117",1,470.448
"118",4,217.8
"119",2,0
"120",4,0
"121",3,254.1
"122",3,145.2
"123",3,217.8
"125",3,363
"126",3,203.28
"127",3,145.2
"128",3,363
"129",3,1089
"130",3,435.6
"131",3,348.48
"132",3,304.92
"133",3,435.6
"134",3,261.36
"135",3,217.8
"136",3,174.24
"137",3,261.36
"138",3,217.8
"139",3,290.4
"140",3,254.1
"141",3,348.48
"142",3,522.72
"143",3,363
"145",3,254.1
"146",3,348.48
"147",3,254.1
"148",3,217.8
"149",3,217.8
"150",3,290.4
"151",3,217.8
"152",3,254.1
"153",3,217.8
"154",3,363
"155",3,290.4
"156",3,NA
"157",3,290.4
"158",3,174.24
"159",3,254.1
"160",3,326.7
"162",3,363
"163",3,290.4
"164",3,304.92
"165",3,363
"166",3,261.36
"168",3,304.92
"169",3,254.1
"170",3,290.4
"171",3,261.36
"172",3,181.5
"173",3,217.8
"174",3,181.5
"175",3,363
"176",3,348.48
"178",3,363
"179",3,290.4
"180",1,653.4
"181",2,0
"182",2,0
"183",2,190.575
"185",5,0
"186",2,0
"187",2,0
"188",2,0
"189",1,580.8
"190",2,813.12
"191",1,627.264
"192",1,1415.7
"193",1,943.8
"194",1,729.63
"195",2,943.8
"196",1,0
"197",1,304.92
"198",1,943.8
"199",1,0
"200",1,519.816
"201",2,842.16
"202",2,943.8
"203",1,813.12
"204",1,311.8896
"206",2,0
"207",2,0
"208",2,813.12
"209",2,254.1
"210",2,0
"211",1,348.48
"212",1,0
"213",2,0
"214",2,0
"216",2,0
"217",2,0
"218",2,0
"219",1,261.36
"220",1,326.7
"221",5,0
"222",5,0
"223",5,0
"224",5,0
"226",5,0
"227",5,0
"228",5,0
"230",5,0
"231",5,0
"233",5,0
"234",5,0
"235",5,0
"236",5,0
"237",5,0
"238",5,0
"239",5,0
"240",5,0
"241",2,217.8
"242",2,0
"243",5,137.94
"244",2,196.02
"245",5,121.968
"246",5,0
"247",2,190.575
"248",5,0
"249",5,130.68
"250",2,0
"252",2,183.92
"253",2,1089
"255",1,290.4
"256",1,163.35
"257",1,353.925
"258",1,471.9
"259",2,245.025
"260",2,392.04
"261",2,363
"262",1,261.36
"263",2,435.6
"264",1,381.15
"265",2,0
"266",2,0
"267",2,943.8
"268",2,0
"269",2,751.41
"270",1,217.8
"271",2,667.92
"272",1,304.92
"274",2,784.08
"275",2,580.8
"276",2,871.2
"277",2,285.8625
"278",2,0
"280",2,0
"281",2,0
"282",2,574.992
"283",2,522.72
"284",2,505.296
"285",1,304.92
"286",2,0
"287",2,392.04
"288",2,0
"290",3,254.1
"291",3,217.8
"292",3,217.8
"294",3,290.4
"295",3,348.48
"296",3,363
"297",3,304.92
"298",3,217.8
"299",3,261.36
"300",3,217.8
"301",2,290.4
"302",2,174.24
"303",2,196.02
"304",1,566.28
"306",2,355.4496
"307",2,435.6
"308",2,387.2
"309",2,435.6
"310",2,348.48
"311",2,566.28
"312",2,487.872
"313",1,653.4
"314",1,418.176
"315",1,566.28
"316",1,435.6
"317",2,473.0616
"318",5,196.02
"319",5,290.4
"320",5,145.2
"321",5,290.4
"322",5,435.6
"323",5,326.7
"324",5,0
"326",5,0
"327",5,0
"328",5,0
"329",5,0
"330",5,363
"331",5,348.48
"332",5,254.1
"333",5,0
"334",5,254.1
"335",5,290.4
"336",5,0
"337",4,392.04
"339",4,0
"340",4,381.15
"341",2,0
"342",4,261.36
"343",4,0
"345",2,0
"346",4,0
"347",2,0
"348",4,0
"349",4,381.15
"350",4,0
"351",4,0
"352",4,0
"354",4,381.15
"355",4,217.8
"356",4,0
"357",4,0
"358",2,304.92
"359",4,0
"360",1,76.23
"361",4,174.24
"362",5,0
"363",2,254.1
"364",2,335.0769231
"365",5,254.1
"366",1,248.9142857
"367",2,272.25
"368",5,217.8
"369",2,190.575
"370",5,78.408
"371",5,87.12
"372",5,96.8
"373",2,108.9
"374",5,0
"376",5,0
"377",2,108.9
"378",1,165.528
"379",2,165.528
"380",2,0
"381",2,0
"382",2,204.732
"383",2,101.64
"384",2,174.24
"385",5,190.575
"386",5,0
"388",5,108.9
"389",2,217.8
"390",2,87.12
"391",5,108.9
"392",5,0
"393",5,0
"394",2,165.528
"395",2,163.35
"396",2,0
"397",5,0
"398",2,108.9
"399",5,0
"400",1,30.492
"401",2,484
"403",1,696.96
"404",3,217.8
"405",3,290.4
"406",3,261.36
"407",3,290.4
"408",3,304.92
"409",3,254.1
"410",3,217.8
"411",3,1089
"412",3,196.02
"413",3,217.8
"414",3,217.8
"415",3,363
"416",3,508.2
"417",3,217.8
"419",3,217.8
"420",3,363
"421",3,261.36
