Cluster,Migration,Cooking_Appliances,Electricity_Availability,Biomass
Cluster 1,59,0.272727273,14,580.8
Cluster 1,27,0.272727273,17,609.84
Cluster 1,31,0.181818182,0,348.48
Cluster 1,16,0.272727273,0,644.688
Cluster 1,25,0.181818182,0,653.4
Cluster 1,55,0.181818182,14,496.584
Cluster 1,56,0.363636364,15,487.872
Cluster 2,65,0.454545455,15,583.704
Cluster 1,69,0.272727273,14,406.56
Cluster 1,43,0.181818182,16,694.2375
Cluster 1,66,0.272727273,3,653.4
Cluster 2,61,0.454545455,10,731.808
Cluster 1,31,0.272727273,14,540.144
Cluster 1,54,0.181818182,4,471.9
Cluster 1,63,0.272727273,15,609.84
Cluster 1,24,0.181818182,12,261.36
Cluster 1,39,0.181818182,0,435.6
Cluster 1,32,0.181818182,0,544.5
Cluster 1,19,0.090909091,0,348.48
Cluster 1,27,0.181818182,0,326.7
Cluster 1,33,0.181818182,0,348.48
Cluster 3,51,0.272727273,24,0
Cluster 3,51,0.272727273,23,0
Cluster 3,59,0.090909091,24,0
Cluster 3,50,0.181818182,24,0
Cluster 3,60,0.272727273,23,326.7
Cluster 3,56,0.181818182,23,0
Cluster 3,8,0.090909091,0,261.36
Cluster 3,5,0.090909091,0,174.24
Cluster 3,9,0.090909091,0,254.1
Cluster 3,5,0.090909091,0,261.36
Cluster 3,4,0.090909091,0,304.92
Cluster 3,5,0.090909091,0,243.936
Cluster 3,5,0.090909091,0,522.72
Cluster 3,13,0.090909091,0,290.4
Cluster 3,11,0.090909091,0,217.8
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.272727273,21,0
Cluster 4,90,0.181818182,21,0
Cluster 1,16,0.181818182,0,261.36
Cluster 1,10,0.272727273,21,490.05
Cluster 1,20,0.272727273,20,490.05
Cluster 1,15,0.272727273,0,0
Cluster 1,12,0.181818182,0,217.8
Cluster 1,15,0.181818182,0,261.36
Cluster 1,15,0.181818182,0,174.24
Cluster 1,14,0.181818182,0,261.36
Cluster 1,15,0.181818182,0,313.632
Cluster 1,15,0.181818182,0,381.15
Cluster 1,6,0.181818182,0,217.8
Cluster 1,16,0.181818182,0,304.92
Cluster 1,12,0.272727273,0,381.15
Cluster 1,12,0.181818182,0,217.8
Cluster 3,8,0.090909091,0,348.48
Cluster 1,60,0.181818182,14,169.4
Cluster 1,45,0.181818182,12,261.36
Cluster 1,51,0.181818182,13,522.72
Cluster 2,50,0.181818182,10,0
Cluster 1,32,0.181818182,13,304.92
Cluster 2,44,0.363636364,14,0
Cluster 1,35,0.272727273,13,348.48
Cluster 1,74,0.090909091,9,392.04
Cluster 1,55,0.272727273,13,136.125
Cluster 2,50,0.272727273,15,314.6
Cluster 1,56,0.181818182,9,435.6
Cluster 1,45,0.454545455,14,435.6
Cluster 1,38,0.272727273,14,348.48
Cluster 1,26,0.181818182,13,217.8
Cluster 1,37,0.181818182,10,696.96
Cluster 2,46,0.363636364,11,601.128
Cluster 1,48,0.181818182,15,849.42
Cluster 1,51,0,15,855.0205714
Cluster 1,55,0.181818182,13,435.6
Cluster 1,23,0.272727273,16,348.48
Cluster 2,50,0.363636364,11,0
Cluster 1,6,0.363636364,13,459.9936
Cluster 2,50,0.363636364,14,522.72
Cluster 1,38,0.181818182,13,504.0514286
Cluster 1,48,0.181818182,14,544.5
Cluster 1,60,0,15,1263.24
Cluster 1,46,0.363636364,13,505.296
Cluster 3,8,0.090909091,24,348.48
Cluster 3,9,0.090909091,24,0
Cluster 3,3,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,6,0.090909091,24,0
Cluster 3,7,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,6,0.090909091,24,0
Cluster 3,8,0.090909091,24,0
Cluster 3,8,0.181818182,24,0
Cluster 5,55,0.181818182,24,261.36
Cluster 1,15,0.181818182,22,392.04
Cluster 4,90,0.272727273,21,0
Cluster 2,25,0.181818182,21,554.0832
Cluster 2,16,0.272727273,21,0
Cluster 4,90,0.272727273,21,174.24
Cluster 4,90,0.272727273,20,0
Cluster 4,90,0.272727273,23,0
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.272727273,21,174.24
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.181818182,23,0
Cluster 4,90,0.363636364,21,718.74
Cluster 4,90,0.272727273,22,0
Cluster 1,25,0.272727273,22,470.448
Cluster 4,90,0.272727273,22,217.8
Cluster 2,30,0.272727273,23,0
Cluster 4,40,0.363636364,23,0
Cluster 3,6,0.090909091,0,254.1
Cluster 3,20,0.272727273,24,145.2
Cluster 3,10,0.272727273,24,217.8
Cluster 3,8,0.090909091,24,363
Cluster 3,8,0.090909091,24,203.28
Cluster 3,6,0.090909091,24,145.2
Cluster 3,11,0.181818182,24,363
Cluster 3,12,0.090909091,0,1089
Cluster 3,12,0.090909091,0,435.6
Cluster 3,9,0.090909091,0,348.48
Cluster 3,9,0.090909091,0,304.92
Cluster 3,9,0.090909091,0,435.6
Cluster 3,11,0.090909091,0,261.36
Cluster 3,6,0.090909091,0,217.8
Cluster 3,4,0.090909091,0,174.24
Cluster 3,4,0.090909091,0,261.36
Cluster 3,6,0.090909091,0,217.8
Cluster 3,7,0.090909091,0,290.4
Cluster 3,7,0.090909091,0,254.1
Cluster 3,5,0.090909091,0,348.48
Cluster 3,8,0,0,522.72
Cluster 3,8,0.090909091,0,363
Cluster 3,6,0.090909091,24,254.1
Cluster 3,10,0.090909091,0,348.48
Cluster 3,11,0.090909091,0,254.1
Cluster 3,6,0.090909091,0,217.8
Cluster 3,8,0.090909091,0,217.8
Cluster 3,9,0.090909091,0,290.4
Cluster 3,10,0.090909091,0,217.8
Cluster 3,5,0.090909091,0,254.1
Cluster 3,6,0.090909091,0,217.8
Cluster 3,10,0.090909091,0,363
Cluster 3,10,0.090909091,0,290.4
Cluster 3,2,0.181818182,24,0
Cluster 3,8,0.090909091,0,290.4
Cluster 3,11,0.090909091,23,174.24
Cluster 3,11,0.090909091,0,254.1
Cluster 3,10,0.090909091,23,326.7
Cluster 3,13,0.090909091,22,363
Cluster 3,13,0.181818182,23,290.4
Cluster 3,10,0.181818182,23,304.92
Cluster 3,12,0.181818182,23,363
Cluster 3,5,0.090909091,22,261.36
Cluster 3,11,0.090909091,22,304.92
Cluster 3,10,0.181818182,23,254.1
Cluster 3,10,0.363636364,22,290.4
Cluster 3,12,0.181818182,22,261.36
Cluster 3,11,0.272727273,22,181.5
Cluster 3,5,0.181818182,22,217.8
Cluster 3,7,0.181818182,22,181.5
Cluster 3,8,0.090909091,0,363
Cluster 3,12,0.090909091,0,348.48
Cluster 3,8,0.090909091,0,363
Cluster 3,6,0.090909091,0,290.4
Cluster 1,33,0.272727273,16,653.4
Cluster 2,39,0.363636364,23,0
Cluster 2,28,0.454545455,23,0
Cluster 2,28,0.363636364,22,190.575
Cluster 5,39,0.454545455,22,0
Cluster 2,45,0.363636364,23,0
Cluster 2,50,0.363636364,22,0
Cluster 2,42,0.363636364,22,0
Cluster 1,50,0.363636364,16,580.8
Cluster 2,2,0.363636364,3,813.12
Cluster 1,41,0.363636364,17,627.264
Cluster 1,3,0.363636364,16,1415.7
Cluster 1,46,0.363636364,24,943.8
Cluster 1,23,0.272727273,24,729.63
Cluster 2,25,0.181818182,15,943.8
Cluster 1,9,0.272727273,17,0
Cluster 1,23,0.363636364,18,304.92
Cluster 1,20,0.272727273,21,943.8
Cluster 1,22,0.454545455,14,0
Cluster 1,50,0.363636364,20,519.816
Cluster 2,44,0.181818182,22,842.16
Cluster 2,15,0.181818182,24,943.8
Cluster 1,36,0.454545455,24,813.12
Cluster 1,20,0.272727273,20,311.8896
Cluster 2,40,0.363636364,23,0
Cluster 2,20,0.272727273,21,0
Cluster 2,11,0.363636364,24,813.12
Cluster 2,23,0.181818182,24,254.1
Cluster 2,34,0.090909091,21,0
Cluster 1,56,0.181818182,24,348.48
Cluster 1,16,0.363636364,24,0
Cluster 2,13,0.181818182,19,0
Cluster 2,30,0.272727273,22,0
Cluster 2,28,0.181818182,24,0
Cluster 2,17,0.272727273,20,0
Cluster 2,34,0.181818182,14,0
Cluster 1,50,0.363636364,21,261.36
Cluster 1,31,0.272727273,17,326.7
Cluster 5,58,0.181818182,24,0
Cluster 5,63,0.181818182,24,0
Cluster 5,70,0.181818182,24,0
Cluster 5,63,0.181818182,24,0
Cluster 5,71,0.181818182,24,0
Cluster 5,72,0.181818182,24,0
Cluster 5,70,0.181818182,24,0
Cluster 5,66,0.181818182,24,0
Cluster 5,63,0.181818182,24,0
Cluster 5,65,0.181818182,24,0
Cluster 5,65,0.181818182,24,0
Cluster 5,59,0.181818182,24,0
Cluster 5,63,0.181818182,24,0
Cluster 5,15,0.272727273,24,0
Cluster 5,10,0.181818182,24,0
Cluster 5,74,0.181818182,24,0
Cluster 5,12,0.181818182,24,0
Cluster 2,30,0.272727273,23,217.8
Cluster 2,21,0.363636364,23,0
Cluster 5,39,0.454545455,23,137.94
Cluster 2,41,0.363636364,23,196.02
Cluster 5,43,0.454545455,23,121.968
Cluster 5,60,0.454545455,23,0
Cluster 2,39,0.545454545,23,190.575
Cluster 5,30,0.363636364,23,0
Cluster 5,30,0.454545455,23,130.68
Cluster 2,27,0.363636364,22,0
Cluster 2,36,0.545454545,23,183.92
Cluster 2,10,0.363636364,11,1089
Cluster 1,28,0.272727273,19,290.4
Cluster 1,21,0.181818182,16,163.35
Cluster 1,26,0.272727273,12,353.925
Cluster 1,54,0.181818182,12,471.9
Cluster 2,35,0.272727273,19,245.025
Cluster 2,24,0.272727273,14,392.04
Cluster 2,30,0.181818182,12,363
Cluster 1,35,0.272727273,18,261.36
Cluster 2,31,0.181818182,17,435.6
Cluster 1,36,0.181818182,12,381.15
Cluster 2,11,0.363636364,13,0
Cluster 2,32,0.090909091,12,0
Cluster 2,45,0.272727273,20,943.8
Cluster 2,8,0.272727273,13,0
Cluster 2,37,0.272727273,13,751.41
Cluster 1,40,0.363636364,14,217.8
Cluster 2,40,0.363636364,13,667.92
Cluster 1,48,0.181818182,19,304.92
Cluster 2,40,0.272727273,14,784.08
Cluster 2,43,0.272727273,12,580.8
Cluster 2,51,0.363636364,12,871.2
Cluster 2,38,0.454545455,9,285.8625
Cluster 2,30,0.181818182,22,0
Cluster 2,25,0.272727273,22,0
Cluster 2,30,0.181818182,21,0
Cluster 2,27,0.181818182,22,574.992
Cluster 2,20,0.272727273,21,522.72
Cluster 2,16,0.181818182,20,505.296
Cluster 1,20,0.181818182,22,304.92
Cluster 2,8,0.181818182,21,0
Cluster 2,20,0.181818182,22,392.04
Cluster 2,22,0.181818182,22,0
Cluster 3,8,0.090909091,2,254.1
Cluster 3,7,0.090909091,0,217.8
Cluster 3,9,0.090909091,0,217.8
Cluster 3,12,0.181818182,24,290.4
Cluster 3,23,0.181818182,24,348.48
Cluster 3,11,0.090909091,0,363
Cluster 3,12,0.090909091,0,304.92
Cluster 3,11,0.090909091,0,217.8
Cluster 3,9,0.090909091,0,261.36
Cluster 3,13,0.090909091,0,217.8
Cluster 2,59,0.454545455,16,290.4
Cluster 2,62,0.363636364,14,174.24
Cluster 2,61,0.363636364,13,196.02
Cluster 1,18,0.272727273,10,566.28
Cluster 2,21,0.272727273,17,355.4496
Cluster 2,34,0.363636364,17,435.6
Cluster 2,64,0,17,387.2
Cluster 2,6,0.272727273,18,435.6
Cluster 2,56,0.272727273,12,348.48
Cluster 2,60,0.272727273,18,566.28
Cluster 2,57,0.363636364,14,487.872
Cluster 1,18,0.181818182,16,653.4
Cluster 1,26,0.272727273,12,418.176
Cluster 1,64,0.272727273,13,566.28
Cluster 1,46,0.181818182,10,435.6
Cluster 2,17,0.363636364,15,473.0616
Cluster 5,65,0.272727273,23,196.02
Cluster 5,1,0.181818182,24,290.4
Cluster 5,58,0.181818182,24,145.2
Cluster 5,61,0.181818182,24,290.4
Cluster 5,62,0.181818182,23,435.6
Cluster 5,64,0.181818182,24,326.7
Cluster 5,59,0.181818182,24,0
Cluster 5,58,0.181818182,24,0
Cluster 5,58,0.181818182,23,0
Cluster 5,66,0.181818182,23,0
Cluster 5,55,0.181818182,24,0
Cluster 5,58,0.181818182,24,363
Cluster 5,64,0.090909091,24,348.48
Cluster 5,73,0.181818182,24,254.1
Cluster 5,59,0.181818182,23,0
Cluster 5,61,0.181818182,24,254.1
Cluster 5,58,0.181818182,24,290.4
Cluster 5,62,0.181818182,24,0
Cluster 4,90,0.181818182,3,392.04
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.181818182,21,381.15
Cluster 2,14,0.272727273,22,0
Cluster 4,90,0.181818182,22,261.36
Cluster 4,90,0.181818182,22,0
Cluster 2,31,0.181818182,21,0
Cluster 4,90,0.272727273,22,0
Cluster 2,40,0.272727273,22,0
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.181818182,22,381.15
Cluster 4,90,0.272727273,21,0
Cluster 4,90,0.272727273,21,0
Cluster 4,90,0.181818182,0,0
Cluster 4,90,0.272727273,0,381.15
Cluster 4,90,0.181818182,0,217.8
Cluster 4,90,0.272727273,22,0
Cluster 4,90,0.272727273,22,0
Cluster 2,22,0.272727273,22,304.92
Cluster 4,90,0.272727273,0,0
Cluster 1,10,0.272727273,20,76.23
Cluster 4,90,0.181818182,0,174.24
Cluster 5,35,0.272727273,22,0
Cluster 2,50,0.454545455,21,254.1
Cluster 2,26,0.454545455,23,335.0769231
Cluster 5,30,0.454545455,22,254.1
Cluster 1,56,0.272727273,22,248.9142857
Cluster 2,55,0.181818182,22,272.25
Cluster 5,30,0.363636364,22,217.8
Cluster 2,38,0.454545455,22,190.575
Cluster 5,35,0.454545455,22,78.408
Cluster 5,40,0.545454545,22,87.12
Cluster 5,44,0.454545455,22,96.8
Cluster 2,50,0.363636364,22,108.9
Cluster 5,36,0.363636364,22,0
Cluster 5,59,0.272727273,22,0
Cluster 2,35,0.454545455,22,108.9
Cluster 1,41,0.272727273,22,165.528
Cluster 2,44,0.272727273,22,165.528
Cluster 2,50,0.363636364,22,0
Cluster 2,49,0.363636364,22,0
Cluster 2,36,0.454545455,22,204.732
Cluster 2,34,0.454545455,22,101.64
Cluster 2,54,0.454545455,23,174.24
Cluster 5,55,0.454545455,22,190.575
Cluster 5,54,0.454545455,22,0
Cluster 5,53,0.454545455,22,108.9
Cluster 2,42,0.454545455,23,217.8
Cluster 2,38,0.454545455,22,87.12
Cluster 5,47,0.454545455,22,108.9
Cluster 5,33,0.363636364,22,0
Cluster 5,46,0.454545455,22,0
Cluster 2,42,0.454545455,22,165.528
Cluster 2,37,0.545454545,22,163.35
Cluster 2,35,0.363636364,22,0
Cluster 5,34,0.454545455,22,0
Cluster 2,42,0.454545455,22,108.9
Cluster 5,55,0.363636364,22,0
Cluster 1,33,0.454545455,22,30.492
Cluster 2,81,0.454545455,22,484
Cluster 1,48,0.272727273,22,696.96
Cluster 3,10,0.090909091,0,217.8
Cluster 3,6,0.090909091,0,290.4
Cluster 3,10,0.090909091,0,261.36
Cluster 3,8,0.090909091,0,290.4
Cluster 3,10,0.090909091,0,304.92
Cluster 3,11,0.090909091,0,254.1
Cluster 3,6,0.090909091,0,217.8
Cluster 3,10,0.090909091,0,1089
Cluster 3,7,0.090909091,0,196.02
Cluster 3,9,0.090909091,0,217.8
Cluster 3,11,0.090909091,0,217.8
Cluster 3,12,0.090909091,0,363
Cluster 3,9,0.090909091,0,508.2
Cluster 3,12,0.090909091,0,217.8
Cluster 3,11,0.090909091,0,217.8
Cluster 3,10,0.090909091,0,363
Cluster 3,10,0.090909091,0,261.36
